WELL_NAME,UWI,BHI,COUNTRY,BASIN_NAME,OPERATOR,CLASS,Petrel Well Symbol,TCH_STAT,CONTENT,GEN_STATUS,SPUD_DT_YR,LTCOMP_DT,GRP_NAME,OP_ACRONYM,CONTRACT,BLOCK_NAME,FIELD_NAME,D_REF_TYPE,ELEV_REF_M,TD_M,DEV_TYPE,BLK_OP_ACR,TECH_STAT,GN_CONT,SPUD_DT_TX,WEL_ID,ALT_WNAME,W84_LAT_DG,W84_LON_DG,POINT_X,POINT_Y
Andrilovec Jug 1,HR00384970,HR0038497000,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin,New-field wildcat,41,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,2000,10/2/2000,INA NAFT,INA NAFT,Sava,Sava,,KB,109.00,2503.00,,,Abandoned,Dry/Shows,10 August 2000,100000366038,An J-1,45.79701500000,16.30981200000,485218.77,5073040.84
Antunovac 1,HR00384972,HR0038497200,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,2012,12/10/2012,INA NAFT,INA NAFT,Istocna Slavonija,Istocna Slavonija,,KB,93.00,1984.00,Vertical,INA NAFT,Abandoned,Dry/Shows,21 October 2012,100000757811,Antu-1,45.49291500000,18.72535600000,673936.89,5041637.13
Bizovac 10,HR00385251,HR0038525100,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin,Development,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1990,7/17/1990,INA NAFT,INA NAFT,,,Bizovac,KB,15.00,1950.00,,,Abandoned,Dry/Shows,22 June 1990,100000592750,Biz-10,45.58621700000,18.45772100000,652765.78,5051460.97
Brodisce 1,HR00385333,HR0038533300,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,41,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1980,11/8/1980,INA,INA,,,,KB,100.00,3253.00,Vertical,,Abandoned,Dry/Shows,12 August 1980,100000109796,,45.53815600000,16.44913800000,496031.47,5044256.55
Cerje 2,HR00385450,HR0038545000,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1954,3/10/1955,INA,INA,,,,KB,115.00,1987.80,,,Abandoned,Dry/Shows,31 August 1954,100000592910,Ce-2,45.69886700000,16.56613600000,505153.98,5062117.67
Dubranec 1,HR00385562,HR0038556200,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1952,6/6/1952,INA,INA,,,,KB,157.00,997.00,,,Abandoned,Dry/Shows,20 February 1952,100000592984,Du-1,45.60778300000,15.96374000000,458174.86,5052132.95
Dubranec 2,HR00385563,HR0038556300,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1952,9/10/1952,INA,INA,,,,KB,178.00,870.00,,,Abandoned,Dry/Shows,05 August 1952,100000592985,Du-2,45.63976700000,15.96183000000,458049.74,5055688.41
Dubranec 3,HR00385564,HR0038556400,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1955,3/5/1956,INA,INA,,,,KB,145.00,1603.60,,,Abandoned,Dry/Shows,26 December 1955,100000592986,Du-3,45.63529300000,16.05044900000,464955.39,5055148.63
Dubrava 1,HR00381402,HR0038140200,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,40,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1978,28902,INA,INA,,,,KB,169,2156,,,Abandoned,Dry/Shows,16 December 1978,100000592987,D-1,46,16,472599,5077981
Dubravka More 1,HR99999002,HR9999900200,Croatia,East Padan and Adriatic - South Adriatic-Durres,Texaco Netherlands Int'l Inc,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1988,5/9/1988,TEXACO 1,TEXACO NE,Dubrovnik Block,Dubrovnik Block,,RT,23.60,3759.00,Vertical,TEXACO NE,Abandoned,Dry/Shows,04 March 1988,100000110147,,42.33431900000,18.27344900000,646151.24,4689832.85
