Well Name,Measured Depth from KB (ft),Raw pick time (ms)
B1-106/04,380.0,0.0
B1-106/04,396.9,8.8
B1-106/04,445.8,24.2
B1-106/04,495.2,38.4
B1-106/04,544.6,52.6
B1-106/04,594.0,66.19999999999999
B1-106/04,642.8,79.39999999999999
B1-106/04,692.2,93.0
B1-106/04,741.6,107.0
B1-106/04,791.0,120.6
B1-106/04,839.8,134.4
B1-106/04,889.2,148.0
B1-106/04,938.6,163.8
B1-106/04,988.0,178.60000000000002
B1-106/04,1036.8,194.20000000000002
B1-106/04,1086.2,208.2
B1-106/04,1135.6,221.8
B1-106/04,1185.0,234.8
B1-106/04,1235.2,248.79999999999998
B1-106/04,1284.6,262.40000000000003
B1-106/04,1334.0,276.4
B1-106/04,1383.4,290.0
B1-106/04,1430.8,303.4
B1-106/04,1480.2,316.8
B1-106/04,1529.6,330.6
B1-106/04,1579.0,342.8
B1-106/04,1627.8,356.59999999999997
B1-106/04,1677.2,371.59999999999997
B1-106/04,1726.6,386.0
B1-106/04,1776.0,398.4
B1-106/04,1824.7,409.4
B1-106/04,1874.1,422.20000000000005
B1-106/04,1923.5,434.59999999999997
B1-106/04,1972.9,447.6
B1-106/04,2021.7,462.6
B1-106/04,2071.1,476.6
B1-106/04,2120.5,489.4
B1-106/04,2169.9,502.4
B1-106/04,2218.7,516.0
B1-106/04,2268.1,529.8000000000001
B1-106/04,2317.5,543.4
B1-106/04,2366.9,556.2
B1-106/04,2415.8,568.8
B1-106/04,2465.2,581.2
B1-106/04,2514.6,593.6
B1-106/04,2564.0,605.1999999999999
B1-106/04,2612.8,617.6
B1-106/04,2662.2,629.4
B1-106/04,2711.6,641.5999999999999
B1-106/04,2761.0,653.0
B1-106/04,2809.8,664.8
B1-106/04,2859.2,676.6
B1-106/04,2908.6,688.6
B1-106/04,2958.0,700.4
B1-106/04,3006.7,713.4000000000001
B1-106/04,3056.1,726.0
B1-106/04,3105.5,739.8000000000001
B1-106/04,3154.9,754.4
B1-106/04,3203.7,768.4
B1-106/04,3253.1,781.8000000000001
B1-106/04,3302.5,795.4
B1-106/04,3351.9,807.2
B1-106/04,3400.7,818.8
B1-106/04,3450.1,829.8
B1-106/04,3499.5,840.8
B1-106/04,3548.9,852.6
B1-106/04,3597.7,864.6
B1-106/04,3647.1,876.0
B1-106/04,3696.5,887.8000000000001
B1-106/04,3745.9,900.2
B1-106/04,3794.8,912.0
B1-106/04,3844.2,924.8
B1-106/04,3893.6,938.0
B1-106/04,3943.0,951.6
B1-106/04,3991.7,963.4000000000001
B1-106/04,4041.1,975.6
B1-106/04,4090.5,986.1999999999999
B1-106/04,4139.9,996.8000000000001
B1-106/04,4188.8,1006.8
B1-106/04,4238.2,1016.2
B1-106/04,4287.6,1025.0
B1-106/04,4337.0,1033.8
B1-106/04,4385.7,1041.4
B1-106/04,4435.1,1049.0
