Well Name	Measured Depth from KB (ft)	Raw pick time (ms)
D46H-103D	371.0	0.0
D46H-103D	400.0	8.8
D46H-103D	500.0	38.8
D46H-103D	600.0	66.9
D46H-103D	700.0	95.7
D46H-103D	800.0	124.9
D46H-103D	900.0	154.1
D46H-103D	1000.0	182.4
D46H-103D	1100.0	210.5
D46H-103D	1200.0	238.6
D46H-103D	1300.0	265.9
D46H-103D	1400.0	291.8
D46H-103D	1500.0	318.7
D46H-103D	1600.0	345.5
D46H-103D	1700.0	373.3
D46H-103D	1800.0	399.5
D46H-103D	1900.0	426.4
D46H-103D	2000.0	453.9
D46H-103D	2100.0	480.7
D46H-103D	2200.0	507.4
D46H-103D	2300.0	534.0
D46H-103D	2400.0	564.1
D46H-103D	2500.0	592.0
D46H-103D	2600.0	621.5
D46H-103D	2700.0	650.9
D46H-103D	2800.0	677.8
D46H-103D	2900.0	703.8
D46H-103D	3000.0	727.9
D46H-103D	3100.0	751.0
D46H-103D	3200.0	772.4
D46H-103D	3300.0	793.5
D46H-103D	3400.0	815.1
D46H-103D	3500.0	837.3
D46H-103D	3600.0	860.6
D46H-103D	3700.0	885.8
D46H-103D	3800.0	911.8
D46H-103D	3900.0	937.3
D46H-103D	4000.0	960.9
D46H-103D	4050.0	971.1
D46H-103D	4100.0	981.5
D46H-103D	4150.0	990.5
D46H-103D	4200.0	999.4
D46H-103D	4250.0	1009.4
D46H-103D	4300.0	1017.8
D46H-103D	4350.0	1027.0
D46H-103D	4400.0	1036.8
D46H-103D	4450.0	1046.4
D46H-103D	4500.0	1056.6
D46H-103D	4550.0	1067.6
D46H-103D	4600.0	1078.7
D46H-103D	4650.0	1088.9
D46H-103D	4700.0	1098.9
D46H-103D	4750.0	1108.9
D46H-103D	4800.0	1117.7
D46H-103D	4850.0	1125.7
D46H-103D	4900.0	1133.9
D46H-103D	4950.0	1141.9
D46H-103D	5000.0	1150.3
D46H-103D	5050.0	1159.2
D46H-103D	5100.0	1168.0
D46H-103D	5150.0	1176.2
D46H-103D	5200.0	1184.6
D46H-103D	5250.0	1192.2
D46H-103D	5300.0	1200.8
D46H-103D	5350.0	1209.6
D46H-103D	5400.0	1217.2
D46H-103D	5450.0	1225.2
D46H-103D	5500.0	1232.8
D46H-103D	5550.0	1240.4
D46H-103D	5600.0	1248.2
D46H-103D	5650.0	1256.1
D46H-103D	5700.0	1264.3
D46H-103D	5750.0	1272.1
D46H-103D	5800.0	1279.7
D46H-103D	5850.0	1288.1
D46H-103D	5900.0	1296.7
D46H-103D	5950.0	1304.9
D46H-103D	6000.0	1312.9
D46H-103D	6050.0	1321.5
D46H-103D	6100.0	1328.9
D46H-103D	6150.0	1337.1
D46H-103D	6200.0	1345.3
D46H-103D	6250.0	1353.7
D46H-103D	6300.0	1361.9
D46H-103D	6350.0	1369.7
D46H-103D	6400.0	1377.3
D46H-103D	6450.0	1385.0
D46H-103D	6500.0	1392.8
D46H-103D	6550.0	1400.2
D46H-103D	6600.0	1407.0
D46H-103D	6650.0	1413.2
D46H-103D	6700.0	1420.0
D46H-103D	6750.0	1427.8
D46H-103D	6800.0	1434.2
D46H-103D	6850.0	1441.0
D46H-103D	6900.0	1448.0
D46H-103D	6950.0	1454.4
D46H-103D	7000.0	1460.8
D46H-103D	7050.0	1467.2
D46H-103D	7100.0	1473.8
D46H-103D	7150.0	1480.4
D46H-103D	7200.0	1487.4
D46H-103D	7250.0	1494.8
D46H-103D	7300.0	1501.4
D46H-103D	7350.0	1508.4
D46H-103D	7400.0	1515.4
D46H-103D	7450.0	1522.8
D46H-103D	7500.0	1530.0
D46H-103D	7550.0	1536.7
D46H-103D	7600.0	1543.9
D46H-103D	7650.0	1550.7
D46H-103D	7700.0	1557.5
D46H-103D	7750.0	1564.5
D46H-103D	7800.0	1570.9
D46H-103D	7850.0	1577.3
D46H-103D	7900.0	1583.5
D46H-103D	7950.0	1590.1
D46H-103D	8000.0	1596.5
D46H-103D	8050.0	1602.3
D46H-103D	8100.0	1608.5
D46H-103D	8150.0	1614.3
D46H-103D	8200.0	1620.0
D46H-103D	8250.0	1625.6
D46H-103D	8300.0	1631.4
D46H-103D	8350.0	1637.4
D46H-103D	8400.0	1643.4
D46H-103D	8450.0	1649.0
D46H-103D	8500.0	1655.2
D46H-103D	8550.0	1660.8
D46H-103D	8600.0	1666.6
D46H-103D	8650.0	1672.1
D46H-103D	8700.0	1678.5
D46H-103D	8750.0	1684.7
D46H-103D	8800.0	1690.7
D46H-103D	8850.0	1696.7
D46H-103D	8900.0	1703.5
D46H-103D	8950.0	1710.7
D46H-103D	9000.0	1717.7
D46H-103D	9050.0	1726.4
D46H-103D	9100.0	1735.0
D46H-103D	9150.0	1743.6
D46H-103D	9200.0	1752.8
D46H-103D	9250.0	1761.0
D46H-103D	9300.0	1768.2
D46H-103D	9350.0	1775.6
D46H-103D	9400.0	1782.4
D46H-103D	9450.0	1788.6
D46H-103D	9500.0	1794.0
D46H-103D	9550.0	1799.5
D46H-103D	9600.0	1804.6
D46H-103D	9650.0	1810.0
D46H-103D	9700.0	1814.6
D46H-103D	9750.0	1818.8
D46H-103D	9800.0	1822.2
D46H-103D	9850.0	1825.6
D46H-103D	9900.0	1827.8
D46H-103D	9950.0	1829.8
D46H-103D	9965.0	1866.5476923076922
