Well Name,Measured Depth from KB (ft),Raw pick time (ms)
D55-103D,377.5,0.0
D55-103D,399.99,365.84793310816383
D55-103D,449.99,393.2679331081638
D55-103D,500.0,415.4879331081637
D55-103D,550.03,431.1479331081638
D55-103D,600.03,449.78793310816377
D55-103D,650.03,463.2679331081638
D55-103D,700.03,473.18793310816375
D55-103D,750.03,483.8679331081637
D55-103D,800.03,492.66793310816377
D55-103D,850.0,503.5079331081638
D55-103D,900.0,509.2279331081637
D55-103D,950.0,514.4079331081638
D55-103D,1000.05,524.5679331081637
D55-103D,1050.05,529.2279331081637
D55-103D,1100.06,536.7879331081638
D55-103D,1150.03,544.3679331081637
D55-103D,1200.03,546.8679331081637
D55-103D,1250.03,550.3079331081638
D55-103D,1300.05,560.6279331081638
D55-103D,1350.05,562.5079331081638
D55-103D,1400.06,566.4479331081637
D55-103D,1449.98,570.7679331081638
D55-103D,1499.99,580.9879331081637
D55-103D,1549.99,585.1879331081637
D55-103D,1599.98,591.7679331081638
D55-103D,1649.99,599.3879331081638
D55-103D,1699.99,600.6879331081637
D55-103D,1750.04,604.6679331081638
D55-103D,1800.04,612.3479331081637
D55-103D,1850.05,621.6879331081637
D55-103D,1900.03,625.0279331081638
D55-103D,1950.03,633.9879331081637
D55-103D,2000.03,638.1679331081638
D55-103D,2050.03,643.4879331081637
D55-103D,2100.04,649.0479331081638
D55-103D,2150.04,655.0279331081638
D55-103D,2200.0,658.4079331081638
D55-103D,2250.0,667.6279331081638
D55-103D,2300.01,699.1079331081637
D55-103D,2350.04,705.8679331081637
D55-103D,2400.04,706.5679331081637
D55-103D,2450.05,711.2279331081637
D55-103D,2500.01,723.0479331081638
D55-103D,2550.01,722.1479331081638
D55-103D,2600.01,725.2879331081638
D55-103D,2650.05,726.1479331081638
D55-103D,2700.05,732.1679331081638
D55-103D,2750.06,737.2679331081638
D55-103D,2799.98,744.9479331081637
D55-103D,2849.98,739.6679331081638
D55-103D,2899.98,748.4479331081637
D55-103D,2950.01,754.3879331081638
D55-103D,3000.01,757.1479331081638
D55-103D,3050.01,771.1679331081638
D55-103D,3100.02,772.9879331081637
D55-103D,3150.02,776.5079331081638
D55-103D,3200.02,782.8879331081638
D55-103D,3250.02,787.7479331081638
D55-103D,3300.02,788.8879331081638
D55-103D,3350.02,801.1879331081637
D55-103D,3400.01,801.0279331081638
D55-103D,3450.01,804.3279331081637
D55-103D,3500.01,802.9479331081637
D55-103D,3550.02,805.4679331081637
D55-103D,3600.02,812.1279331081638
D55-103D,3650.02,819.0879331081637
D55-103D,3700.0,820.6479331081638
D55-103D,3715.02,824.7279331081637
D55-103D,3750.0,826.9679331081637
D55-103D,3800.0,838.7079331081637
D55-103D,3850.01,844.5879331081637
D55-103D,3900.01,845.1079331081637
D55-103D,3950.01,847.1279331081638
D55-103D,4000.0,850.8279331081637
D55-103D,4050.0,850.7879331081638
D55-103D,4100.01,859.1879331081637
D55-103D,4149.92,866.8079331081638
D55-103D,4161.97,866.9479331081637
D55-103D,4199.92,868.1079331081637
D55-103D,4249.92,883.1079331081637
D55-103D,4300.01,908.7079331081638
D55-103D,4350.01,907.3479331081637
D55-103D,4400.01,909.1279331081637
D55-103D,4450.0,915.2079331081638
D55-103D,4500.0,919.9279331081636
D55-103D,4550.01,928.9479331081639
D55-103D,4599.98,931.2079331081638
D55-103D,4649.99,932.1679331081637
D55-103D,4699.99,936.7279331081638
D55-103D,4750.03,948.0479331081638
D55-103D,4800.03,948.1079331081637
D55-103D,4850.03,985.2479331081638
D55-103D,4900.06,994.2279331081638
D55-103D,4928.01,995.0079331081638
D55-103D,4950.06,995.0679331081637
D55-103D,5000.06,994.4679331081638
D55-103D,5049.92,1018.3279331081637
D55-103D,5099.92,1026.1879331081639
D55-103D,5149.92,1034.7279331081638
D55-103D,5199.9,1042.8279331081637
D55-103D,5249.9,1050.3279331081637
D55-103D,5299.91,1060.5279331081638
D55-103D,5307.98,1061.8679331081637
D55-103D,5349.98,1068.1479331081637
D55-103D,5399.99,1076.0479331081638
D55-103D,5410.02,1077.5479331081638
D55-103D,5449.99,1084.1479331081637
D55-103D,5500.03,1092.0479331081638
D55-103D,5550.04,1099.4279331081636
D55-103D,5600.04,1107.5879331081637
D55-103D,5650.03,1114.8079331081638
D55-103D,5700.03,1123.1279331081637
D55-103D,5750.03,1130.1479331081637
D55-103D,5800.07,1138.6079331081637
D55-103D,5850.07,1147.0479331081638
D55-103D,5900.07,1155.4279331081636
D55-103D,5949.98,1163.4079331081637
D55-103D,5999.98,1171.5479331081638
D55-103D,6049.98,1179.4679331081638
D55-103D,6100.08,1188.0879331081637
D55-103D,6150.08,1196.3079331081638
D55-103D,6200.08,1204.5479331081638
D55-103D,6250.04,1212.9279331081636
D55-103D,6300.04,1220.7479331081638
D55-103D,6350.05,1228.9879331081638
D55-103D,6400.04,1236.7879331081638
D55-103D,6450.05,1244.4279331081636
D55-103D,6500.05,1252.4279331081636
D55-103D,6550.02,1259.5679331081637
D55-103D,6600.02,1267.3879331081637
D55-103D,6650.02,1274.0079331081638
D55-103D,6699.94,1280.6679331081637
D55-103D,6749.94,1287.9679331081638
D55-103D,6799.94,1293.8079331081638
D55-103D,6850.0,1300.2679331081638
D55-103D,6900.0,1307.3279331081637
D55-103D,6950.01,1312.7079331081638
D55-103D,6999.97,1320.1879331081639
D55-103D,7033.98,1324.2879331081638
D55-103D,7049.97,1326.3079331081638
