Well Name	Measured Depth from KB (ft)	Raw pick time (ms)
E16-103E	397.0	0.0
E16-103E	398.0	63.52772057006342
E16-103E	600.0	115.52772057006342
E16-103E	1000.0	225.7277205700634
E16-103E	1500.0	357.5277205700634
E16-103E	2000.0	489.5277205700634
E16-103E	2500.0	621.5277205700634
E16-103E	3000.0	764.5277205700634
E16-103E	3550.0	878.5277205700634
E16-103E	4110.0	1007.7277205700634
E16-103E	4500.0	1087.5277205700634
E16-103E	4845.0	1141.5277205700634
E16-103E	5000.0	1159.5277205700634
E16-103E	5303.0	1213.5277205700634
E16-103E	5800.0	1291.5277205700634
E16-103E	6300.0	1375.5277205700634
E16-103E	6895.0	1455.7277205700634
E16-103E	7030.0	1483.5277205700634
E16-103E	7160.0	1493.5277205700634
E16-103E	7250.0	1503.5277205700634
E16-103E	7395.0	1525.5277205700634
E16-103E	7500.0	1541.5277205700634
E16-103E	8000.0	1597.5277205700634
E16-103E	8100.0	1613.5277205700634
E16-103E	8635.0	1681.5277205700634
E16-103E	8700.0	1687.5277205700634
E16-103E	8785.0	1695.5277205700634
E16-103E	8830.0	1699.5277205700634
E16-103E	8870.0	1703.5277205700634
E16-103E	8920.0	1713.5277205700634
E16-103E	9020.0	1727.5277205700634
E16-103E	9080.0	1735.7277205700634
E16-103E	9135.0	1741.7277205700634
E16-103E	9200.0	1749.5277205700634
E16-103E	9280.0	1761.5277205700634
E16-103E	9500.0	1795.3277205700633
E16-103E	9510.0	1791.5277205700634
E16-103E	9800.0	1829.5277205700634
E16-103E	10100.0	1866.5277205700634
E16-103E	10150.0	1873.5277205700634
E16-103E	10250.0	1881.7277205700634
E16-103E	10400.0	1903.5277205700634
E16-103E	10430.0	1907.8877205700633
