Well Name	Measured Depth from KB (ft)	Raw pick time (ms)
T3-103	382.4	0.0
T3-103	680.0	112.9532910453909
T3-103	932.0	197.1532910453909
T3-103	978.0	210.9532910453909
T3-103	1024.0	225.35329104539088
T3-103	1058.0	232.9532910453909
T3-103	1118.0	246.9532910453909
T3-103	1162.1	260.5532910453909
T3-103	1267.0	286.95329104539087
T3-103	1323.0	299.1532910453909
T3-103	1374.0	315.1532910453909
T3-103	1422.0	326.95329104539087
T3-103	1484.0	346.1532910453909
T3-103	1533.0	356.5532910453909
T3-103	1578.0	372.35329104539085
T3-103	1624.0	385.35329104539085
T3-103	1680.0	401.1532910453909
T3-103	1732.0	414.95329104539087
T3-103	1786.0	428.7532910453908
T3-103	1844.0	443.7532910453908
T3-103	1906.0	457.7532910453908
T3-103	1974.0	473.35329104539085
T3-103	2032.0	488.35329104539085
T3-103	2080.0	504.35329104539085
T3-103	2134.0	519.1532910453909
T3-103	2186.0	532.5532910453909
T3-103	2244.0	548.7532910453908
T3-103	2302.0	563.3532910453908
T3-103	2355.0	577.7532910453908
T3-103	2412.0	592.7532910453908
T3-103	2470.0	606.9532910453909
T3-103	2521.0	619.7532910453908
T3-103	2576.0	634.9532910453909
T3-103	2638.0	651.3532910453908
T3-103	2694.0	663.5532910453909
T3-103	2748.0	677.5532910453909
T3-103	2802.0	689.5532910453909
T3-103	2860.0	704.5532910453909
T3-103	2916.0	719.1532910453909
T3-103	2972.0	732.9532910453909
T3-103	3026.0	745.9532910453909
T3-103	3080.0	759.7532910453908
T3-103	3130.0	771.3532910453908
T3-103	3180.0	784.3532910453908
T3-103	3232.0	799.5532910453909
T3-103	3293.0	813.9532910453909
T3-103	3353.0	828.3532910453908
T3-103	3412.0	843.3532910453908
T3-103	3473.0	855.7532910453908
T3-103	3534.0	869.3532910453908
T3-103	3595.0	883.5532910453908
T3-103	3664.0	898.9532910453909
T3-103	3724.0	912.9532910453909
T3-103	3788.0	928.5532910453908
T3-103	3846.0	945.1532910453909
T3-103	3903.0	956.1532910453909
T3-103	3955.0	971.5532910453908
T3-103	4008.0	987.353291045391
T3-103	4063.0	1002.9532910453909
T3-103	4118.0	1015.353291045391
T3-103	4197.7	1035.153291045391
T3-103	4280.0	1049.153291045391
T3-103	4370.0	1060.5532910453908
T3-103	4456.5	1072.7532910453908
T3-103	4542.0	1088.353291045391
T3-103	4642.0	1104.5532910453908
T3-103	4730.0	1119.7532910453908
T3-103	4813.0	1133.5532910453908
T3-103	4897.0	1147.9532910453909
T3-103	4980.0	1162.153291045391
T3-103	5066.0	1179.353291045391
T3-103	5154.0	1189.9532910453909
T3-103	5243.0	1201.7532910453908
T3-103	5327.0	1219.5532910453908
T3-103	5417.0	1234.153291045391
T3-103	5521.0	1252.9532910453909
T3-103	5615.0	1263.5532910453908
T3-103	5705.0	1277.7532910453908
T3-103	5788.0	1293.153291045391
T3-103	5874.0	1307.9532910453909
T3-103	5969.0	1321.7532910453908
T3-103	6057.0	1336.153291045391
T3-103	6150.2	1349.5532910453908
T3-103	6234.0	1361.9532910453909
T3-103	6323.0	1372.353291045391
T3-103	6419.1	1390.7532910453908
T3-103	6515.0	1405.353291045391
T3-103	6604.0	1418.7532910453908
T3-103	6700.1	1433.153291045391
T3-103	6813.0	1448.9532910453909
T3-103	6927.0	1463.353291045391
T3-103	7045.0	1474.353291045391
T3-103	7142.0	1493.5532910453908
T3-103	7243.0	1506.153291045391
T3-103	7342.0	1519.353291045391
T3-103	7446.0	1529.9532910453909
T3-103	7550.0	1548.5532910453908
T3-103	7652.0	1563.9532910453909
T3-103	7758.1	1566.9532910453909
T3-103	7876.0	1582.353291045391
T3-103	7990.0	1606.353291045391
T3-103	8106.0	1620.353291045391
T3-103	8232.0	1634.5532910453908
T3-103	8344.0	1649.153291045391
T3-103	8474.0	1665.7532910453908
T3-103	8600.0	1673.9532910453909
T3-103	8724.0	1694.353291045391
T3-103	8837.0	1710.153291045391
T3-103	8930.0	1725.7532910453908
T3-103	9012.0	1739.9532910453909
T3-103	9095.0	1753.353291045391
T3-103	9184.0	1766.7532910453908
T3-103	9278.0	1781.7532910453908
T3-103	9386.0	1795.7532910453908
T3-103	9501.0	1814.353291045391
T3-103	9608.0	1834.153291045391
T3-103	9713.0	1844.9532910453909
T3-103	9828.0	1858.7532910453908
T3-103	9956.0	1870.9532910453909
T3-103	10086.0	1886.9532910453909
T3-103	10202.0	1898.9532910453909
T3-103	10300.0	1912.9532910453909
T3-103	10433.0	1927.753291045391
T3-103	10700.0	1957.46456924088
