Well Name,Measured Depth from KB (ft),Raw pick time (ms)
U1-103,382.0,0.0
U1-103,600.0,77.05812669906913
U1-103,1000.0,207.65812669906913
U1-103,2250.0,550.4581266990691
U1-103,2500.0,613.6581266990692
U1-103,2700.0,664.0581266990691
U1-103,2800.0,688.4581266990691
U1-103,2900.0,713.2581266990692
U1-103,3000.0,736.2581266990692
U1-103,3100.0,758.6581266990692
U1-103,3200.0,781.4581266990691
U1-103,3300.0,808.2581266990692
U1-103,3400.0,832.2581266990692
U1-103,3500.0,856.2581266990692
U1-103,3600.0,881.6581266990692
U1-103,3700.0,907.2581266990691
U1-103,3800.0,929.4581266990691
U1-103,3900.0,957.2581266990691
U1-103,4000.0,982.2581266990691
U1-103,4100.0,1006.4581266990691
U1-103,4200.0,1022.0581266990692
U1-103,4300.0,1038.858126699069
U1-103,4400.0,1054.0581266990691
U1-103,4500.0,1073.458126699069
U1-103,4600.0,1087.258126699069
U1-103,4700.0,1104.858126699069
U1-103,4800.0,1124.458126699069
U1-103,4900.0,1136.658126699069
U1-103,5000.0,1154.0581266990691
U1-103,5100.0,1169.0581266990691
U1-103,5199.9,1185.458126699069
U1-103,5300.0,1203.858126699069
U1-103,5399.9,1220.658126699069
U1-103,5500.0,1234.858126699069
U1-103,5600.0,1250.458126699069
U1-103,5700.0,1266.258126699069
U1-103,5800.0,1280.658126699069
U1-103,5900.0,1298.458126699069
U1-103,6000.0,1313.0581266990691
U1-103,6100.0,1330.458126699069
U1-103,6200.0,1346.658126699069
U1-103,6300.0,1365.858126699069
U1-103,6400.0,1376.858126699069
U1-103,6500.0,1390.858126699069
U1-103,6600.0,1408.258126699069
U1-103,6700.0,1425.658126699069
U1-103,6799.9,1447.258126699069
U1-103,6900.0,1452.458126699069
U1-103,7000.0,1457.858126699069
U1-103,7100.0,1477.258126699069
U1-103,7200.0,1488.258126699069
U1-103,7300.0,1505.0581266990691
U1-103,7400.0,1517.658126699069
U1-103,7500.0,1528.658126699069
U1-103,7600.0,1543.0581266990691
U1-103,7700.0,1559.0581266990691
U1-103,7800.0,1570.0581266990691
U1-103,7900.0,1579.258126699069
U1-103,8000.0,1593.858126699069
U1-103,8100.0,1603.858126699069
U1-103,8232.5,1613.858126699069
U1-103,8300.0,1628.0581266990691
U1-103,8400.0,1638.658126699069
U1-103,8500.0,1652.258126699069
U1-103,8600.0,1662.458126699069
U1-103,8700.0,1675.858126699069
U1-103,8800.0,1685.258126699069
U1-103,8900.0,1699.0581266990691
U1-103,9000.0,1709.858126699069
U1-103,9100.0,1723.458126699069
U1-103,9200.0,1742.458126699069
U1-103,9300.0,1756.858126699069
U1-103,9400.0,1768.258126699069
U1-103,9500.0,1781.0581266990691
U1-103,9600.0,1793.0581266990691
U1-103,9700.0,1809.258126699069
U1-103,9800.0,1822.0581266990691
U1-103,9900.0,1833.0581266990691
U1-103,10000.0,1842.258126699069
U1-103,10050.0,1849.858126699069
U1-103,10100.0,1855.258126699069
U1-103,10150.0,1866.458126699069
U1-103,10200.0,1881.258126699069
U1-103,10250.0,1887.0581266990691
U1-103,10300.0,1877.458126699069
U1-103,10350.0,1877.0581266990691
U1-103,10400.0,1905.0581266990691
U1-103,10449.8,1911.258126699069
U1-103,10450.0,1904.258126699069
U1-103,10500.0,1918.4581266990692
U1-103,10537.0,1928.9661266990695
